venda,ano,marca,modelo,condicao,combustivel,odometro,status,cambio,tamanho,tipo,cor
9999,2003,acura,3.2 cl type s,excelente,gasolina,136371,alienado,manual,grande,coupe,prata
9999,2003,acura,3.2 cl type s,excelente,gasolina,136371,alienado,manual,grande,coupe,prata
1299,2003,acura,3.2 tl,razoavel,gasolina,388931,desconhecido,automatico,grande,sedan,azul
3200,2005,acura,3.2 tl,seminovo,gasolina,180000,desconhecido,manual,medio,sedan,preto
4500,2005,acura,3.2 tl,excelente,gasolina,161260,desconhecido,automatico,medio,sedan,prata
4700,2006,acura,3.2 tl,seminovo,gasolina,185000,sucata,automatico,grande,sedan,verde
5000,2005,acura,3.2 tl,excelente,gasolina,161260,sucata,automatico,medio,sedan,prata
5500,2003,acura,3.2 tl,excelente,gasolina,154100,sucata,automatico,grande,sedan,branco
5995,2003,acura,3.2 tl,excelente,gasolina,145836,sucata,automatico,medio,sedan,cinza
4500,1996,acura,3.2tl,excelente,gasolina,206544,desconhecido,automatico,medio,sedan,verde
4400,2003,acura,3.5 rl,excelente,gasolina,210520,desconhecido,automatico,medio,sedan,branco
3500,2000,acura,3.5rl,excelente,gasolina,179000,desconhecido,automatico,grande,sedan,marrom
3500,2000,acura,3.5rl,excelente,gasolina,178000,desconhecido,automatico,grande,sedan,marrom
5200,2004,acura,3.5rl,excelente,gasolina,125300,sucata,automatico,grande,sedan,cinza
3500,1999,acura,cl,bom,gasolina,206100,desconhecido,automatico,medio,coupe,fantasia
3900,2001,acura,cl,bom,gasolina,151500,desconhecido,automatico,medio,coupe,branco
10995,2003,acura,cl,bom,gasolina,46000,alienado,automatico,medio,coupe,vermelho
3750,1997,acura,cl 3.0,excelente,gasolina,145000,desconhecido,automatico,compacto,coupe,verde
4995,2003,acura,cl 3.2 type s,excelente,gasolina,182842,sucata,automatico,compacto,coupe,preto
2500,2002,acura,cl type s,bom,gasolina,179000,desconhecido,automatico,medio,coupe,vermelho
3990,2003,acura,cl type s,bom,gasolina,99000,desconhecido,automatico,medio,coupe,fantasia
7500,2003,acura,cl type s,bom,gasolina,322000,sucata,manual,compacto,coupe,cinza
8000,2013,acura,ilx,excelente,gasolina,140044,sucata,automatico,medio,sedan,branco
8500,2013,acura,ilx,bom,gasolina,169000,sucata,automatico,grande,sedan,preto
8950,2017,acura,ilx,desconhecido,gasolina,38256,sucata,automatico,compacto,sedan,preto
8950,2017,acura,ilx,desconhecido,gasolina,38256,sucata,automatico,compacto,sedan,preto
8950,2017,acura,ilx,desconhecido,gasolina,38256,sucata,automatico,compacto,sedan,preto
9750,2013,acura,ilx,excelente,gasolina,132000,sucata,automatico,medio,sedan,prata
10950,2015,acura,ilx,excelente,gasolina,118000,alienado,manual,compacto,sedan,preto
10999,2013,acura,ilx,excelente,gasolina,80956,alienado,automatico,compacto,sedan,prata
10999,2013,acura,ilx,excelente,gasolina,80956,alienado,automatico,compacto,sedan,prata
10999,2013,acura,ilx,excelente,gasolina,80956,alienado,automatico,compacto,sedan,prata
11995,2016,acura,ilx,desconhecido,gasolina,116939,alienado,automatico,compacto,sedan,preto
11999,2013,acura,ilx,excelente,gasolina,80956,alienado,automatico,compacto,sedan,prata
11999,2013,acura,ilx,excelente,gasolina,80956,alienado,automatico,compacto,sedan,prata
12499,2014,acura,ilx,excelente,gasolina,150454,alienado,automatico,compacto,sedan,branco
